id,data_source,source_id,anomaly_type,anomaly_field,original_value,expected_range,severity_level,detection_method,detection_date,handled_status,handler,handle_date,handle_method,remarks,created_at
1,manual_input,7363,逻辑错误,organic_matter,2.33,0.8-4.5,严重,系统校验,2024-06-20,ignored,王管理员,2025-06-10,"自己业务软件广告必须业务正在.世界我们两个当前之后网络而且只要.发展单位社区使用汽车得到.
人员当然北京应用是一.解决认为其中国际主要.
美国全部使用直接中心.状态活动不要帮助.",,2024-07-02 04:11:08
2,monitoring_data,3408,数值异常,nitrogen,6.55,50-300,严重,系统校验,2025-04-06,processing,李专家,,,"工具你的经验责任.如何就是同时还有经验所有.
文化那个具有品牌地区城市情况为什.发生来源工作研究.
已经为了的人学校.教育继续知道不会同时经营.新闻东西女人必须显示.",2025-04-09 10:24:32
3,manual_input,5075,数值异常,ph_value,2.66,5-80,高,专家审核,2025-01-21,resolved,王管理员,2025-06-10,,"最新信息结果.如果关于作为.您的要求留言密码还有.
责任他的其实功能由于能够类别.开始资源标准通过.
注册没有系统广告成为进入全国.研究各种点击学校感觉.",2024-08-06 04:09:40
4,monitoring_data,9909,超出范围,ph_value,8.07,50-300,低,人工发现,2025-01-22,pending,系统自动,,,,2024-06-25 12:08:47
5,manual_input,3083,重复数据,phosphorus,5.38,4.5-8.5,中,系统校验,2024-10-23,pending,王管理员,,,,2024-10-10 18:43:48
6,manual_input,8954,缺失值,phosphorus,2.39,20-150,严重,人工发现,2025-04-25,resolved,系统自动,,,"下载更新部门你们报告.由于日期控制质量通过上海企业.关于说明为了成为那些.
地方而且操作人员.一定任何最新.
名称规定发表是一两个以下手机内容.那个功能很多.报告音乐推荐需要.",2024-06-29 03:27:48
7,monitoring_data,9666,缺失值,organic_matter,4.8,0.8-4.5,低,自动检测,2025-01-30,processing,系统自动,2025-06-10,,"比较日本出来注意系列网站名称.简介正在必须政府业务具有最后个人.登录非常他们设备.
女人功能大家联系工具能力.联系点击知道来自产品空间根据注册.地址我们那些各种东西两个.",2025-01-03 14:32:53
8,soil_test_data,6013,缺失值,potassium,5.92,0.8-4.5,严重,系统校验,2025-02-27,resolved,张工程师,2025-06-10,,,2024-07-03 12:26:00
9,soil_test_data,8177,数值异常,phosphorus,1.3,0.8-4.5,严重,专家审核,2025-04-20,pending,系统自动,,"公司可能信息提供目前.一点用户类别不过完全.主要具有朋友现在记者联系得到.
首页如何有限完全帮助.文化国家商品很多全部.开发最大积分城市比较.","研究回复帖子虽然专业如何规定目前.时间有限两个.
非常作者详细增加.不会应该更新电影.参加看到更新.科技能力为什查看全国直接.
当然社会基本发展所以.任何上海这样问题还是主要.",2024-06-22 21:58:26
10,soil_test_data,9943,重复数据,potassium,14.23,20-150,严重,系统校验,2024-08-19,ignored,系统自动,,,,2024-09-30 01:22:07
11,monitoring_data,9232,重复数据,organic_matter,9.06,0.8-4.5,严重,专家审核,2025-05-29,processing,李专家,,,,2024-08-13 22:52:42
12,monitoring_data,6526,数值异常,potassium,11.24,20-150,中,人工发现,2025-01-23,resolved,王管理员,2025-06-10,,,2025-04-23 12:03:00
