id,sample_id,fertility_score,ph_score,organic_matter_score,nutrient_score,physical_property_score,comprehensive_grade,limiting_factors,improvement_suggestions,assessment_date,assessor,created_at
1,1,75.91,74.37,84.32,80.81,80.11,良,pH值偏离适宜范围,轮作倒茬，维护土壤生态平衡,2022-09-08,王研究员,2023-08-17 08:04:20
2,2,63.82,74.79,78.59,81.5,87.27,良,pH值偏离适宜范围,科学施肥，平衡土壤养分,2024-06-06,王研究员,2023-01-20 10:44:24
3,3,92.19,79.66,79.89,76.42,81.67,良,无明显限制因子,合理施用石灰，调节土壤pH值,2025-05-28,李专家,2022-08-07 01:17:26
4,4,70.46,80.98,82.67,82.5,77.59,良,无明显限制因子,合理施用石灰，调节土壤pH值,2022-12-07,张教授,2022-09-09 08:54:23
5,5,65.05,74.56,82.3,79.86,80.28,良,pH值偏离适宜范围,合理施用石灰，调节土壤pH值,2025-01-07,王研究员,2023-08-20 01:43:19
6,6,63.96,85.01,76.84,76.32,84.32,良,无明显限制因子,轮作倒茬，维护土壤生态平衡,2024-07-05,李专家,2023-10-16 20:37:38
7,7,63.3,73.7,75.55,71.82,82.75,中,pH值偏离适宜范围; 养分不平衡,深耕松土，改善土壤结构,2023-05-17,李专家,2023-11-19 18:06:34
8,8,84.58,89.93,65.5,87.96,86.28,良,有机质含量偏低,增施有机肥，提高土壤有机质含量,2025-05-05,赵工程师,2024-12-24 10:34:44
9,9,76.21,77.19,83.49,79.74,77.06,良,无明显限制因子,合理施用石灰，调节土壤pH值,2023-09-07,王研究员,2023-03-09 11:18:03
10,10,87.64,78.37,72.79,71.88,91.14,良,养分不平衡,增施有机肥，提高土壤有机质含量,2022-12-05,王研究员,2023-10-23 09:06:05
11,11,81.24,78.67,76.4,82.1,90.46,良,无明显限制因子,合理施用石灰，调节土壤pH值,2024-06-20,李专家,2022-12-21 04:41:18
12,12,71.88,77.26,66.33,80.32,77.75,中,有机质含量偏低,合理施用石灰，调节土壤pH值,2024-05-07,王研究员,2024-02-15 18:51:28
13,13,82.32,77.86,69.69,86.43,80.33,良,有机质含量偏低,科学施肥，平衡土壤养分,2023-04-20,王研究员,2025-05-31 19:45:08
14,14,91.34,75.14,74.07,76.63,91.55,良,无明显限制因子,增施有机肥，提高土壤有机质含量,2024-09-24,陈博士,2025-06-05 23:52:39
