id,sample_id,iron,manganese,zinc,copper,boron,molybdenum,chlorine,sulfur,calcium,magnesium,test_date,created_at
1,666,39.96,26.39,14.61,3.48,0.13,1.15,90.79,324.29,6812.83,823.9,2025-01-08,2022-11-17 05:01:28
2,572,201.2,99.85,4.51,7.87,0.49,1.24,146.43,138.3,1725.86,1336.31,2024-09-03,2023-08-10 12:55:53
3,7452,53.97,149.32,5.12,1.08,0.9,0.11,92.77,47.05,4496.07,1941.19,2024-12-08,2022-10-16 15:33:08
4,1117,182.21,124.49,4.98,6.64,1.48,1.3,175.39,86.47,5977.43,934.86,2024-03-14,2022-10-29 09:27:23
5,8889,160.27,108.77,11.1,1.12,1.16,0.2,19.87,67.72,5394.72,785.68,2022-09-25,2022-08-02 23:52:33
6,8507,170.42,90.92,6.9,2.07,0.89,0.26,118.39,353.99,3373.6,1213.69,2022-11-14,2024-02-08 06:26:43
7,7435,97.29,14.97,13.22,2.31,0.89,0.73,71.25,247.54,4360.73,1390.5,2023-05-18,2023-07-17 06:54:22
8,8760,265.6,6.05,13.15,0.25,1.35,1.19,38.65,31.73,6442.62,816.22,2024-01-02,2024-10-09 16:49:12
9,746,19.44,73.19,8.4,2.82,0.6,1.07,168.05,279.47,5882.09,1128.17,2025-02-23,2023-08-06 01:40:57
10,1007,145.88,21.44,14.69,5.28,1.01,1.26,158.3,208.35,6111.68,1158.66,2024-05-19,2024-06-06 01:34:42
11,9050,18.65,48.96,2.89,3.82,1.86,0.1,164.84,98.62,2399.3,1454.29,2024-05-21,2023-10-23 14:08:04
12,7469,234.61,78.75,3.92,3.16,0.38,0.91,145.75,122.11,6780.47,105.41,2025-03-19,2024-04-30 22:09:46
13,9670,175.84,113.17,2.82,2.13,1.21,0.74,133.31,350.72,2484.79,381.72,2024-05-03,2024-09-27 20:07:59
14,8519,175.62,138.18,13.66,3.43,1.93,0.18,154.95,303.9,1903.48,824.2,2025-04-30,2025-01-30 18:50:07
15,1590,144.54,31.28,3.25,7.54,1.44,0.79,55.52,48.59,1380.47,1003.39,2024-10-30,2023-12-01 00:33:38
16,5143,119.9,121.71,4.93,2.82,0.85,0.19,76.93,177.61,7941.99,1739.8,2022-07-27,2023-12-26 20:17:17
17,913,51.87,130.97,2.93,0.38,0.93,0.1,48.6,183.8,1221.34,725.84,2024-12-29,2022-07-25 04:56:23
18,4593,182.94,74.67,14.63,3.82,0.85,1.44,32.63,72.23,1155.45,1407.58,2023-03-11,2024-06-29 20:12:49
19,271,196.37,52.79,1.97,4.97,1.6,0.08,73.26,306.92,1397.52,809.71,2024-03-03,2022-10-31 06:09:25
20,7695,64.3,89.81,3.46,1.66,1.63,0.25,19.22,310.13,4152.84,1960.95,2023-07-08,2023-07-25 18:30:27
21,6773,110.77,90.74,3.02,0.39,0.67,1.32,111.54,341.31,7013.56,1235.02,2024-11-05,2023-08-06 07:53:28
22,2290,186.44,70.36,8.3,4.7,1.0,0.2,175.25,369.64,5131.08,189.85,2023-12-16,2024-09-21 12:08:49
23,3877,144.38,62.87,11.96,6.03,0.44,0.46,128.12,380.47,4460.12,261.63,2024-01-10,2022-06-30 11:22:19
24,3930,45.31,83.35,11.37,5.95,0.52,1.43,187.27,375.75,7121.17,294.57,2023-03-08,2023-12-02 01:26:16
25,4000,145.28,13.96,11.07,1.8,0.75,0.85,55.84,241.09,3692.79,1685.73,2023-07-30,2024-10-25 10:33:20
26,2880,299.13,94.37,10.12,2.87,1.06,1.33,91.64,255.52,2250.18,1884.61,2022-10-14,2023-08-30 03:39:17
27,9643,158.25,114.79,7.77,3.87,0.39,1.4,64.46,286.87,6024.04,1562.87,2023-11-04,2023-04-23 01:53:29
28,4179,67.64,54.69,12.71,5.42,1.12,1.06,165.75,35.33,4646.28,1056.5,2022-09-05,2023-07-22 17:54:42
29,5658,98.82,136.05,2.01,2.23,0.3,0.46,159.48,219.8,751.74,969.46,2024-11-07,2024-09-26 17:56:26
30,198,118.36,20.23,1.94,6.63,1.67,0.34,99.28,317.88,1762.31,1442.34,2025-02-21,2022-07-14 09:15:36
31,6616,298.08,41.48,1.81,6.06,0.29,0.2,170.89,263.24,7296.51,418.72,2023-09-07,2024-07-31 03:03:06
32,7060,228.65,52.71,10.01,4.39,1.92,1.44,33.2,185.52,7256.34,297.58,2024-03-12,2023-01-01 19:28:39
33,6412,104.56,131.03,14.59,0.71,1.89,1.02,172.85,322.31,2996.59,1151.03,2024-02-04,2024-07-08 05:14:51
34,3547,69.15,11.37,3.81,6.76,1.44,1.22,168.81,308.76,2198.01,1949.89,2023-08-28,2024-05-15 11:46:23
35,2924,160.29,109.58,6.38,5.11,1.78,0.64,68.7,220.25,1187.16,1159.57,2023-01-11,2022-10-12 22:44:31
36,5154,222.67,127.86,5.42,1.26,0.63,1.12,30.91,34.76,6353.81,800.13,2024-03-09,2024-12-08 04:48:09
37,2025,168.89,119.77,7.79,6.09,1.34,1.39,19.58,357.49,6207.45,324.59,2024-02-28,2025-04-06 11:29:13
38,8366,243.02,90.03,9.27,5.53,0.53,0.24,159.13,91.15,3733.95,845.71,2024-05-28,2025-04-12 04:02:55
39,7539,72.38,96.52,13.0,1.55,0.8,0.3,129.39,221.12,1511.72,916.23,2025-03-23,2023-01-31 05:55:51
40,9368,195.62,147.58,0.69,4.0,0.19,0.17,36.94,80.2,7698.73,1671.42,2023-08-30,2023-04-20 05:16:35
41,1955,143.31,122.64,12.88,5.88,1.01,0.14,71.31,123.87,940.55,1678.69,2025-05-01,2022-07-10 17:47:46
42,1714,295.73,49.58,4.97,1.28,0.65,0.81,194.93,386.15,1466.92,179.81,2025-01-04,2022-12-26 04:36:56
43,7890,28.88,22.62,6.32,3.51,0.88,0.24,135.27,334.19,6630.05,397.17,2023-02-09,2025-05-20 23:02:33
